Date,Open,High,Low,Close,Volume
9/14/2010,89.832,90.39,89.43,90.006,68023
9/15/2010,89.64,90.304,89.447,90.233,10629
9/16/2010,89.988,90.251,89.71,90.197,68209
9/17/2010,90.74,90.74,89.988,90.286,56797
9/20/2010,90.618,91.753,90.374,91.753,21759
9/21/2010,91.736,92.103,91.09,91.475,22077
9/22/2010,91.334,91.753,90.812,90.985,20775
9/23/2010,90.251,91.143,90.076,90.233,38189
9/24/2010,90.793,91.631,90.722,91.577,28164
9/27/2010,91.702,91.702,91.143,91.143,17223
9/28/2010,91.124,91.736,90.338,91.736,57074
9/29/2010,91.351,91.649,91.038,91.301,18189
9/30/2010,91.888,92.309,90.818,91.166,51184
10/1/2010,91.787,91.859,90.985,91.475,18514
10/4/2010,91.945,91.945,90.407,90.704,101544
10/5/2010,91.736,92.764,91.56,92.698,22709
10/6/2010,92.698,92.837,92.261,92.54,316985
10/7/2010,93.023,93.023,91.997,92.487,57091
10/8/2010,92.609,93.237,92.296,93.183,71606
10/11/2010,93.218,93.321,92.837,93.023,16233
10/12/2010,92.922,93.683,92.364,93.578,48105
10/13/2010,93.972,94.569,93.683,94.136,85194
10/14/2010,94.08,94.175,93.293,93.774,21837
10/15/2010,94.373,94.411,93.218,93.953,57925
10/18/2010,94.011,94.712,93.851,94.628,26158
10/19/2010,93.594,94.062,92.609,93.134,44129
10/20/2010,93.414,94.477,93.414,94.136,26101
10/21/2010,94.56,94.994,93.746,94.268,33621
10/22/2010,94.477,94.515,94.288,94.496,28312
10/25/2010,95.127,95.461,94.731,94.77,33842
10/26/2010,94.268,94.828,94.23,94.751,17147
10/27/2010,94.119,94.524,93.663,94.458,19582
10/28/2010,94.994,95.049,94.136,94.524,22014
10/29/2010,94.431,94.702,94.336,94.599,15466
11/1/2010,95.137,95.584,94.136,94.646,58961
11/2/2010,95.413,95.584,95.087,95.393,29855
11/3/2010,95.584,95.795,94.609,95.795,36442
11/4/2010,96.864,97.665,96.728,97.587,56057
11/5/2010,97.744,98.086,97.568,97.969,47289
11/8/2010,97.724,97.9,97.397,97.842,49683
11/9/2010,97.989,98.086,96.777,97.074,40837
11/10/2010,97.094,97.499,96.375,97.455,32258
11/11/2010,96.68,97.201,96.453,97.124,27445
11/12/2010,96.433,96.824,95.555,95.922,41100
11/15/2010,96.357,96.54,95.776,95.853,232084
11/16/2010,95.231,95.231,93.88,94.298,37556
11/17/2010,94.392,94.731,94.156,94.373,48541
11/18/2010,95.279,96.007,95.279,95.776,29832
11/19/2010,95.661,96.025,95.25,95.987,23203
11/22/2010,95.584,95.902,94.844,95.902,28999
11/23/2010,94.828,94.891,94.268,94.56,163017
11/24/2010,95.155,95.892,95.155,95.795,34425
11/26/2010,95.174,95.565,95.049,95.25,26932
11/29/2010,94.646,95.355,94.039,95.155,52609
11/30/2010,94.307,95.097,94.184,94.505,105221
12/1/2010,96.007,96.728,95.977,96.62,38130
12/2/2010,96.728,97.92,96.728,97.88,69379
12/3/2010,97.548,98.237,97.538,98.128,182436
12/6/2010,97.969,98.207,97.823,98.008,73400
12/7/2010,99.011,99.031,98.008,98.038,124749
12/8/2010,98.187,98.493,97.793,98.454,79014
12/9/2010,99.011,99.011,98.414,98.802,62750
12/10/2010,99.121,99.489,98.902,99.409,78340
12/13/2010,99.86,99.96,99.429,99.469,88179
12/14/2010,99.69,99.9,99.28,99.52,68287
12/15/2010,99.359,99.76,98.922,99.071,49908
12/16/2010,99.2,99.72,98.802,99.66,69367
12/17/2010,99.6,99.88,99.429,99.78,54998
12/20/2010,100.04,100.21,99.56,100,83083
12/21/2010,100.33,100.72,100.25,100.61,87183
12/22/2010,100.76,100.98,100.66,100.98,123876
12/23/2010,100.84,100.91,100.59,100.82,65676
12/27/2010,99.98,100.47,99.93,100.43,82162
12/28/2010,100.64,100.64,100.27,100.53,64804
12/29/2010,100.73,100.83,100.62,100.62,61328
12/30/2010,100.54,100.67,100.35,100.46,90287
12/31/2010,100.23,100.57,100.16,100.57,128624
1/3/2011,101.24,101.91,101.24,101.52,136438
1/4/2011,101.82,101.82,100.9,101.44,124021
1/5/2011,101.2,102.03,101.08,101.97,821673
1/6/2011,102.06,102.14,101.52,101.8,82902
1/7/2011,101.91,102.08,100.88,101.6,76654
1/10/2011,101.22,101.58,100.88,101.5,142482
1/11/2011,101.91,102.06,101.44,101.84,150756
1/12/2011,102.47,102.84,102.28,102.74,122847
1/13/2011,102.8,102.85,102.33,102.6,109953
1/14/2011,102.45,103.36,102.43,103.33,189998
1/18/2011,103.29,103.58,103.12,103.51,223098
1/19/2011,103.45,103.51,102.2,102.47,128148
1/20/2011,102.26,102.53,101.61,102.35,118394
1/21/2011,102.95,103.2,102.49,102.6,114096
1/24/2011,102.55,103.26,102.53,103.22,521858
1/25/2011,102.89,103.26,102.37,103.18,259309
1/26/2011,103.45,103.9,103.28,103.72,125068
1/27/2011,103.67,104.04,103.49,103.86,340285
1/28/2011,103.99,104.14,101.93,101.97,229119
1/31/2011,102.4,102.89,102.15,102.82,160887
2/1/2011,103.49,104.62,103.4,104.4,168745
2/2/2011,104.15,104.51,104.15,104.25,104130
2/3/2011,104.13,104.64,103.51,104.5,82668
2/4/2011,104.5,104.84,104.11,104.79,102121
2/7/2011,105.09,105.8,105.05,105.45,135100
2/8/2011,105.59,105.97,105.35,105.95,175682
