Date,Open,High,Low,Close,Volume
2/1/2011,41.719,42.36,41.694,42.36,31604
2/2/2011,42.403,42.403,42.019,42.145,57373
2/3/2011,42.396,42.396,41.871,42.221,61449
2/4/2011,42.195,42.285,41.904,42.195,50584
2/7/2011,42.276,42.36,42.062,42.311,43959
2/8/2011,42.36,42.377,42.062,42.377,74764
2/9/2011,42.526,42.526,41.969,42.12,53897
2/10/2011,41.904,41.904,41.197,41.728,78927
2/11/2011,41.777,41.928,41.454,41.888,34143
2/14/2011,42.36,42.36,41.754,41.986,42505
2/15/2011,42.111,42.111,41.821,41.853,50609
2/16/2011,42.07,42.396,42.07,42.377,40612
2/18/2011,42.692,42.692,42.47,42.627,76531
2/22/2011,41.96,42.195,41.412,41.564,236730
2/23/2011,41.694,41.728,41.221,41.521,47330
2/24/2011,41.777,41.777,41.403,41.58,23067
2/25/2011,41.803,42.054,41.703,42.054,47829
2/28/2011,42.543,42.567,42.237,42.436,51426
3/1/2011,42.567,42.718,41.913,41.953,31213
3/2/2011,42.102,42.36,42.07,42.26,53362
3/3/2011,42.51,42.778,42.479,42.752,31823
3/4/2011,43.026,43.026,42.237,42.47,54310
3/7/2011,42.735,42.778,41.986,42.186,554456
3/8/2011,42.526,42.526,41.944,42.334,15053
3/9/2011,42.237,42.487,42.136,42.285,38600
3/10/2011,42.045,42.045,41.122,41.238,76466
3/11/2011,42.285,42.285,40.949,41.387,64868
3/14/2011,40.556,40.796,40.334,40.788,38290
3/15/2011,39.174,40.182,38.403,40.074,80721
3/16/2011,39.81,39.899,38.52,38.96,58158
3/17/2011,39.881,40.28,39.8,39.957,52011
3/18/2011,40.498,40.574,40.357,40.574,46736
3/21/2011,41.205,41.489,41.205,41.446,76476
3/22/2011,41.403,41.47,41.131,41.345,22419
3/23/2011,41.324,41.555,41.056,41.529,49354
3/24/2011,41.746,42.062,41.612,41.944,29244
3/25/2011,41.853,41.977,41.645,41.679,169696
3/28/2011,41.746,41.944,41.489,41.489,55675
3/29/2011,41.454,41.871,41.371,41.821,48290
3/30/2011,42.229,42.427,42.111,42.377,50870
3/31/2011,42.278,42.426,42.229,42.33,32325
4/1/2011,42.452,42.834,42.36,42.701,86766
4/4/2011,42.984,43.009,42.735,42.926,133974
4/5/2011,42.601,42.917,42.552,42.76,30374
4/6/2011,43.068,43.118,42.934,43.077,75952
4/7/2011,42.976,43.111,42.677,42.858,26459
4/8/2011,43.358,43.358,43.026,43.182,29921
4/11/2011,43.206,43.291,42.858,42.917,36799
4/12/2011,42.76,42.76,42.326,42.51,40346
4/13/2011,43.026,43.026,42.502,42.683,19812
4/14/2011,42.461,42.818,42.445,42.787,50681
4/15/2011,42.61,42.826,42.526,42.76,56381
4/18/2011,42.237,42.326,41.498,41.994,83907
